"Date","Open","High","Low","Close"
"06 Apr 2023","18287.60","18426.10","18229.15","18371.05"
"05 Apr 2023","18341.00","18342.60","18199.65","18285.50"
"03 Apr 2023","18357.40","18360.40","18265.35","18319.90"
"31 Mar 2023","18163.50","18295.45","18154.05","18257.05"
"29 Mar 2023","17759.70","18092.75","17758.40","18044.45"
"28 Mar 2023","17889.80","17894.15","17666.65","17738.55"
"27 Mar 2023","17864.70","17950.85","17769.55","17836.55"
"24 Mar 2023","18063.15","18092.25","17828.45","17860.65"
"23 Mar 2023","18061.60","18158.30","18017.15","18037.75"
"22 Mar 2023","18190.55","18226.10","18114.95","18135.40"
"21 Mar 2023","18113.80","18160.25","18017.00","18130.00"
"20 Mar 2023","18124.75","18155.65","17840.65","18026.10"
"17 Mar 2023","18313.65","18337.60","18076.15","18210.95"
"16 Mar 2023","18065.05","18215.60","17846.45","18138.85"
"15 Mar 2023","18212.70","18270.30","18032.25","18066.30"
"14 Mar 2023","18214.55","18238.60","17970.70","18106.30"
"13 Mar 2023","18558.40","18661.60","18180.05","18214.90"
"10 Mar 2023","18589.20","18602.05","18429.20","18560.20"
"09 Mar 2023","18957.70","18971.35","18703.50","18730.20"
"08 Mar 2023","18666.00","18917.00","18605.25","18904.00"
"06 Mar 2023","18672.40","18829.40","18658.35","18704.70"
"03 Mar 2023","18354.35","18621.45","18345.70","18570.40"
"02 Mar 2023","18239.45","18262.50","18127.55","18206.90"
"01 Mar 2023","17937.80","18252.55","17934.20","18238.65"
"28 Feb 2023","17891.65","17984.45","17832.65","17890.95"
"27 Feb 2023","17875.10","17918.65","17703.05","17869.60"
"24 Feb 2023","18088.75","18097.75","17857.85","17916.00"
"23 Feb 2023","17994.75","18103.60","17861.75","17996.50"
"22 Feb 2023","18197.55","18197.55","17908.10","17958.90"
"21 Feb 2023","18373.10","18396.10","18230.65","18254.85"
"20 Feb 2023","18426.40","18466.05","18267.55","18309.85"
"17 Feb 2023","18540.70","18585.55","18360.50","18410.45"
"16 Feb 2023","18561.50","18636.75","18522.90","18587.25"
"15 Feb 2023","18302.00","18478.20","18286.85","18458.45"
"14 Feb 2023","18298.35","18367.60","18124.70","18316.80"
"13 Feb 2023","18441.50","18501.90","18193.25","18241.55"
"10 Feb 2023","18342.90","18509.25","18326.40","18404.70"
"09 Feb 2023","18516.35","18518.10","18313.95","18426.05"
"08 Feb 2023","18389.20","18504.55","18324.65","18486.50"
"07 Feb 2023","18370.25","18440.55","18225.95","18333.60"
"06 Feb 2023","18284.70","18350.00","18165.85","18318.75"
"03 Feb 2023","18049.45","18322.40","17659.15","18294.90"
"02 Feb 2023","18003.20","18198.00","17721.55","17965.75"
"01 Feb 2023","18797.25","18806.75","17700.50","18049.15"
"31 Jan 2023","18354.45","18658.60","18251.20","18610.65"
"30 Jan 2023","18177.20","18495.30","17910.10","18229.05"
"27 Jan 2023","18790.55","18792.90","17960.65","18167.25"
"25 Jan 2023","19076.75","19088.40","18628.60","18780.90"
"24 Jan 2023","19240.70","19248.85","19064.55","19101.85"
"23 Jan 2023","19224.75","19230.15","19153.30","19192.25"
"20 Jan 2023","19222.75","19251.20","19101.90","19123.15"
"19 Jan 2023","19172.65","19208.70","19105.85","19178.60"
"18 Jan 2023","19218.40","19255.25","19120.25","19239.30"
"17 Jan 2023","19230.45","19239.80","18998.50","19175.65"
"16 Jan 2023","19330.25","19378.65","19130.60","19188.15"
"13 Jan 2023","19166.40","19307.60","19071.25","19282.15"
"12 Jan 2023","19218.90","19231.60","19028.80","19129.60"
"11 Jan 2023","19231.55","19247.85","19050.15","19162.70"
"10 Jan 2023","19522.60","19526.70","19088.70","19200.90"
"09 Jan 2023","19412.50","19533.85","19389.65","19489.00"
"06 Jan 2023","19439.75","19462.35","19199.55","19287.60"
"05 Jan 2023","19373.05","19445.20","19232.10","19411.30"
"04 Jan 2023","19574.50","19608.15","19269.90","19296.95"
"03 Jan 2023","19528.35","19606.60","19457.80","19548.10"
"02 Jan 2023","19492.55","19576.35","19417.85","19515.15"
"30 Dec 2022","19533.50","19567.50","19409.20","19444.95"
"29 Dec 2022","19413.20","19477.35","19328.90","19450.65"
"28 Dec 2022","19366.00","19530.55","19338.50","19489.85"
"27 Dec 2022","19390.10","19467.75","19248.80","19394.95"
"26 Dec 2022","18931.10","19364.15","18822.85","19271.40"
"23 Dec 2022","19282.55","19389.25","18877.70","18925.10"
"22 Dec 2022","19722.45","19759.35","19342.10","19450.20"
"21 Dec 2022","20079.50","20122.65","19575.40","19631.95"
"20 Dec 2022","20015.85","20037.75","19817.30","20019.80"
"19 Dec 2022","19824.80","20058.70","19736.95","20035.30"
"16 Dec 2022","20048.70","20119.35","19784.35","19810.80"
"15 Dec 2022","20342.15","20394.45","20096.40","20131.40"
"14 Dec 2022","20319.40","20394.60","20313.75","20360.55"
"13 Dec 2022","20229.80","20280.55","20185.40","20265.00"
"12 Dec 2022","20178.10","20219.30","20051.35","20182.30"
"09 Dec 2022","20288.90","20380.95","20027.20","20197.15"
"08 Dec 2022","20232.45","20275.70","20174.90","20224.85"
"07 Dec 2022","20313.55","20336.90","20165.75","20200.45"
"06 Dec 2022","20256.60","20324.85","20231.05","20302.00"
"05 Dec 2022","20292.25","20310.75","20086.55","20291.05"
"02 Dec 2022","20268.50","20285.50","20176.15","20245.25"
"01 Dec 2022","20353.85","20361.45","20209.55","20264.60"
"30 Nov 2022","20101.15","20321.50","20093.90","20264.30"
"29 Nov 2022","20147.10","20181.55","20054.05","20079.05"
"28 Nov 2022","20045.40","20192.50","20013.55","20125.25"
"25 Nov 2022","20066.35","20103.45","19976.50","20080.00"
"24 Nov 2022","19943.55","20033.30","19885.55","20008.20"
"23 Nov 2022","20002.10","20002.10","19863.20","19890.60"
"22 Nov 2022","19793.40","19931.30","19765.20","19918.00"
"21 Nov 2022","19786.55","19796.25","19661.55","19781.00"
"18 Nov 2022","20032.70","20046.85","19727.55","19825.20"
"17 Nov 2022","20036.70","20083.90","19952.75","20003.30"
"16 Nov 2022","20153.65","20180.85","19953.90","20066.65"
"15 Nov 2022","20094.60","20152.55","20008.65","20128.95"
"14 Nov 2022","20143.35","20161.15","20019.75","20041.15"
"11 Nov 2022","20332.80","20380.15","20065.45","20118.45"
"10 Nov 2022","20319.45","20322.85","20044.00","20121.40"
"09 Nov 2022","20585.00","20587.35","20335.95","20381.45"
"07 Nov 2022","20458.85","20515.40","20337.85","20466.10"
"04 Nov 2022","20347.20","20374.40","20230.75","20337.70"
"03 Nov 2022","20182.90","20370.80","20168.75","20287.60"
"02 Nov 2022","20345.6","20384.45","20246.25","20292.75"
"01 Nov 2022","20114.65","20359.05","20089.6","20343.30"
"31 Oct 2022","19855.75","20033.65","19849.30","20019.85"
"28 Oct 2022","19783.05","19812.45","19701.15","19771.40"
"27 Oct 2022","19659.75","19791.80","19612.35","19748.90"
"25 Oct 2022","19598.90","19601.50","19449.05","19561.75"
"24 Oct 2022","19613.45","19644.65","19511.95","19541.85"
"21 Oct 2022","19598.65","19672.80","19338.45","19426.30"
"20 Oct 2022","19413.70","19582.05","19315.15","19553.70"
"19 Oct 2022","19552.80","19597.80","19428.85","19477.55"
"18 Oct 2022","19285.50","19508.25","19282.55","19489.60"
"17 Oct 2022","18986.95","19201.15","18865.70","19179.50"
"14 Oct 2022","19368.55","19376.40","19012.05","19030.50"
"13 Oct 2022","19182.10","19250.45","19002.20","19079.20"
"12 Oct 2022","19094.05","19217.85","18958.70","19187.75"
"11 Oct 2022","19362.90","19362.90","18997.10","19037.70"
"10 Oct 2022","19270.35","19393.70","19177.45","19279.70"
"07 Oct 2022","19443.90","19503.05","19315.50","19485.95"
"06 Oct 2022","19382.75","19482.55","19357.75","19405.60"
"04 Oct 2022","19138.30","19262.10","19051.05","19243.30"
"29 Sep 2022","18956.50","19118.60","18783.60","18901.30"
"28 Sep 2022","18740.25","18948.65","18684.80","18769.05"
"23 Sep 2022","19924.55","19983.45","19424.20","19498.35"
"22 Sep 2022","19748.25","19959.55","19667.70","19929.30"
"21 Sep 2022","20024.80","20134.85","19739.05","19819.75"
"20 Sep 2022","19940.05","20120.20","19925.15","20012.20"
"19 Sep 2022","19800.50","19886.85","19620.55","19792.75"
"16 Sep 2022","20167.00","20189.05","19620.70","19772.80"
"15 Sep 2022","20189.30","20235.00","20017.45","20188.40"
"14 Sep 2022","19827.30","20144.10","19812.35","20076.00"
"13 Sep 2022","19975.00","20085.60","19954.65","20061.65"
"12 Sep 2022","19777.35","19897.40","19762.75","19874.70"
"09 Sep 2022","19870.70","19872.60","19639.90","19692.95"
"08 Sep 2022","19835.30","19852.40","19693.90","19751.00"
"07 Sep 2022","19621.70","19733.65","19529.40","19702.55"
"06 Sep 2022","19653.35","19756.30","19607.55","19696.35"
"05 Sep 2022","19485.15","19582.85","19458.85","19568.40"
"02 Sep 2022","19532.20","19598.15","19412.25","19434.30"
"01 Sep 2022","19247.80","19541.95","19243.80","19450.15"
"30 Aug 2022","19160.95","19416.30","19157.35","19405.55"
"29 Aug 2022","18727.55","19081.80","18724.55","19047.15"
"26 Aug 2022","19006.70","19195.15","18988.55","19148.90"
"25 Aug 2022","19065.10","19089.05","18857.20","18894.20"
"24 Aug 2022","18897.30","18981.20","18797.05","18961.50"
"23 Aug 2022","18484.95","18945.50","18469.95","18903.10"
"22 Aug 2022","18845.15","18845.15","18570.80","18607.55"
"19 Aug 2022","19206.45","19228.50","18826.00","18876.70"
"18 Aug 2022","19082.25","19186.25","19044.85","19164.85"
"17 Aug 2022","19122.30","19169.95","19086.45","19110.85"
"16 Aug 2022","18918.85","19062.10","18901.30","19050.40"
"12 Aug 2022","18702.50","18851.50","18663.30","18832.60"
"11 Aug 2022","18740.70","18770.15","18616.50","18677.55"
"10 Aug 2022","18606.55","18625.90","18495.05","18595.60"
"08 Aug 2022","18381.45","18554.45","18364.80","18543.50"
"05 Aug 2022","18367.80","18407.45","18252.55","18331.05"
"04 Aug 2022","18399.45","18441.65","18050.40","18321.55"
"03 Aug 2022","18408.70","18426.25","18144.90","18322.70"
"02 Aug 2022","18332.60","18450.15","18262.30","18400.00"
"01 Aug 2022","17984.20","18334.00","17959.80","18313.15"
"29 Jul 2022","17777.20","17921.35","17760.80","17906.90"
"28 Jul 2022","17632.45","17683.70","17526.35","17655.55"
"27 Jul 2022","17440.80","17564.90","17410.10","17552.10"
"26 Jul 2022","17556.80","17562.90","17422.05","17449.55"
"25 Jul 2022","17530.30","17566.60","17458.05","17521.90"
"22 Jul 2022","17612.75","17650.35","17489.60","17520.50"
"21 Jul 2022","17327.25","17567.55","17306.45","17539.40"
"20 Jul 2022","17478.30","17479.35","17279.80","17302.80"
"19 Jul 2022","17151.80","17305.45","17136.95","17270.75"
"18 Jul 2022","17094.15","17200.85","17066.00","17184.70"
"15 Jul 2022","16830.75","16980.30","16792.25","16961.35"
"14 Jul 2022","16818.10","16852.90","16636.10","16759.90"
"13 Jul 2022","16825.00","16860.40","16718.70","16750.55"
"12 Jul 2022","16801.60","16896.55","16739.95","16775.05"
"11 Jul 2022","16737.70","16910.40","16709.45","16886.30"
"08 Jul 2022","16769.25","16794.95","16637.05","16783.55"
"07 Jul 2022","16546.00","16646.20","16509.45","16619.30"
"06 Jul 2022","16270.05","16423.25","16177.25","16397.40"
"05 Jul 2022","16381.40","16478.75","16239.25","16278.30"
"04 Jul 2022","16144.30","16325.65","16129.15","16310.45"
"01 Jul 2022","16275.90","16313.05","16030.90","16182.50"
"30 Jun 2022","16534.85","16603.85","16324.70","16361.50"
"29 Jun 2022","16532.40","16670.50","16500.15","16538.50"
"28 Jun 2022","16611.35","16765.70","16474.10","16739.95"
"27 Jun 2022","16693.60","16782.95","16635.75","16700.05"
"24 Jun 2022","16477.65","16565.95","16313.05","16454.05"
"23 Jun 2022","16190.40","16373.45","16100.95","16352.60"
"22 Jun 2022","16383.75","16383.75","16094.00","16141.45"
"21 Jun 2022","16140.85","16524.80","16100.00","16456.20"
"20 Jun 2022","16201.90","16243.60","15751.45","15962.95"
"17 Jun 2022","16200.85","16397.00","16039.55","16159.85"
"16 Jun 2022","17103.40","17109.25","16278.35","16311.15"
"15 Jun 2022","16922.85","16979.60","16827.15","16894.20"
"14 Jun 2022","16726.45","16979.00","16619.20","16834.25"
"13 Jun 2022","16982.15","17000.10","16671.20","16711.35"
"10 Jun 2022","17280.15","17398.65","17209.80","17357.80"
"09 Jun 2022","17278.10","17511.20","17241.10","17490.45"
"08 Jun 2022","17573.15","17612.10","17336.65","17401.20"
"07 Jun 2022","17553.90","17562.80","17393.95","17502.25"
"06 Jun 2022","17605.25","17680.25","17382.90","17650.70"
"03 Jun 2022","18066.35","18099.55","17644.35","17669.55"
"02 Jun 2022","17779.50","17935.00","17735.75","17913.25"
"01 Jun 2022","17997.70","18086.70","17686.70","17798.05"
"31 May 2022","17907.85","18091.70","17827.30","17969.65"
"30 May 2022","17606.20","17956.30","17584.15","17941.55"
"27 May 2022","17281.85","17397.45","17208.50","17379.35"
"26 May 2022","16976.90","17131.55","16535.25","17067.95"
"25 May 2022","17370.50","17380.75","16886.30","16913.35"
"24 May 2022","17576.70","17597.05","17262.55","17332.90"
"23 May 2022","17618.70","17786.35","17507.70","17535.10"
"20 May 2022","17530.80","17599.95","17452.00","17567.35"
"19 May 2022","17402.15","17478.90","17125.05","17196.05"
"18 May 2022","18110.20","18213.05","17807.80","17852.60"
"17 May 2022","17494.05","18018.45","17467.65","17989.70"
"16 May 2022","17351.25","17489.55","17164.85","17356.05"
"13 May 2022","17510.55","17706.30","17198.55","17258.00"
"12 May 2022","17590.20","17593.85","17110.95","17254.90"
"11 May 2022","17843.50","18044.40","17382.35","17726.15"
"10 May 2022","18118.45","18284.55","17728.75","17784.60"
"09 May 2022","18255.80","18346.45","17952.95","18139.80"
"06 May 2022","18516.60","18542.35","18281.75","18454.45"
"05 May 2022","18968.55","19069.50","18777.15","18844.05"
"04 May 2022","19302.80","19340.60","18674.70","18760.85"
"02 May 2022","19296.90","19330.60","19113.55","19239.50"
"29 Apr 2022","19813.70","19819.85","19396.15","19443.35"
"28 Apr 2022","19693.00","19757.00","19426.30","19672.30"
"27 Apr 2022","19662.80","19718.90","19374.85","19505.95"
"26 Apr 2022","19695.95","19820.15","19656.70","19789.05"
"25 Apr 2022","19626.10","19632.25","19395.05","19483.95"
"22 Apr 2022","19958.30","20062.25","19836.55","19856.45"
"21 Apr 2022","19936.20","20114.60","19838.60","20092.65"
"20 Apr 2022","19787.30","19927.90","19664.40","19778.40"
"19 Apr 2022","20239.20","20274.35","19521.35","19695.55"
"18 Apr 2022","20178.55","20178.55","19857.45","20066.95"
"13 Apr 2022","20513.90","20594.80","20400.55","20448.65"
"12 Apr 2022","20753.85","20758.15","20274.35","20410.45"
"11 Apr 2022","20903.05","20936.45","20794.00","20829.50"
"08 Apr 2022","20769.60","20928.05","20680.55","20867.45"
"07 Apr 2022","20921.40","20977.90","20621.25","20660.15"
"06 Apr 2022","20925.00","21028.35","20826.45","20955.35"
"05 Apr 2022","20801.20","20999.95","20726.95","20947.30"
"04 Apr 2022","20539.20","20727.90","20489.30","20692.20"
"01 Apr 2022","20318.70","20481.15","20292.20","20451.10"
"31 Mar 2022","20442.15","20458.75","20261.55","20314.70"
"30 Mar 2022","20324.65","20426.80","20242.55","20392.95"
"29 Mar 2022","20192.85","20249.55","20097.65","20158.05"
"28 Mar 2022","20117.55","20161.65","19847.70","20086.75"
"25 Mar 2022","20250.50","20260.35","19938.35","20077.85"
"24 Mar 2022","19924.30","20198.65","19893.00","20157.90"
"23 Mar 2022","20215.00","20226.00","19983.50","20027.95"
"22 Mar 2022","19907.05","20113.20","19664.65","20083.90"
"21 Mar 2022","20081.40","20127.65","19841.45","19863.90"
"17 Mar 2022","19964.50","20097.00","19908.85","19978.60"
"16 Mar 2022","19640.45","19741.95","19589.85","19732.30"
"15 Mar 2022","19689.75","19734.10","19224.70","19356.15"
"14 Mar 2022","19422.95","19659.85","19403.85","19642.55"
"11 Mar 2022","19347.75","19461.80","19252.20","19436.75"
"10 Mar 2022","19543.65","19544.40","19244.70","19404.50"
"09 Mar 2022","18893.05","19219.60","18843.60","19112.40"
"08 Mar 2022","18539.80","18824.45","18431.90","18803.25"
"07 Mar 2022","18502.30","18622.85","18300.80","18531.05"
"04 Mar 2022","19089.10","19187.90","18820.50","18866.85"
"23 Feb 2022","19455.55","19540.45","19339.50","19384.75"
"22 Feb 2022","18867.95","19357.05","18865.05","19317.50"
"21 Feb 2022","19401.95","19586.20","19179.90","19396.00"
"18 Feb 2022","19509.65","19702.85","19482.05","19500.90"
"17 Feb 2022","19857.35","19923.60","19606.70","19639.10"
"16 Feb 2022","19932.00","19980.00","19656.70","19717.95"
"15 Feb 2022","19201.55","19841.15","19029.60","19810.75"
"14 Feb 2022","19284.05","19431.30","18982.25","19038.50"
"11 Feb 2022","20023.95","20037.45","19679.90","19726.05"
"10 Feb 2022","20183.85","20248.30","20046.25","20228.45"
"09 Feb 2022","19840.95","20116.70","19815.45","20087.15"
"08 Feb 2022","19875.70","19948.80","19434.85","19705.90"
"07 Feb 2022","20111.75","20213.50","19704.75","19788.85"
"04 Feb 2022","20095.75","20256.90","19981.60","20097.65"
"03 Feb 2022","20303.05","20312.85","20033.30","20084.25"
"02 Feb 2022","20167.55","20347.75","20148.35","20325.20"
"01 Feb 2022","20091.00","20119.50","19676.00","20069.80"
"31 Jan 2022","19770.55","19959.05","19698.85","19897.25"
"28 Jan 2022","19418.70","19847.75","19418.70","19455.85"
"27 Jan 2022","19383.80","19390.35","18964.35","19228.20"
"25 Jan 2022","19145.35","19655.05","18946.75","19628.45"
"24 Jan 2022","20282.65","20291.20","19242.30","19421.45"
"21 Jan 2022","20697.45","20707.50","20186.95","20313.95"
"20 Jan 2022","20915.45","20982.50","20740.45","20854.50"
"19 Jan 2022","20951.85","20974.25","20690.60","20891.85"
"18 Jan 2022","21577.20","21618.70","20953.55","21009.70"
"17 Jan 2022","21491.10","21554.05","21403.70","21536.50"
"14 Jan 2022","21419.80","21499.75","21321.60","21456.10"
"13 Jan 2022","21406.10","21514.70","21220.40","21502.20"
"12 Jan 2022","21378.50","21415.05","21281.85","21394.10"
"11 Jan 2022","21163.35","21292.80","21135.25","21241.50"
